Country Name,Country Code,Indicator Name,Indicator Code,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Transportation and Telecommunication Sector (in IDR Million), Constant Price",NA.GDP.TRAN.COMM.KR,208751.08,216022.63,232313.83,268575.26,267306.65,284488.95,465818.96,612794.93,466508.12,535506.03,573056.02,640085.07,677533.78,672742.14,641116.81,657309.78,671273.43,711385.19,856853.59,966571.93,1028135.1,1112139.8,1182487.8,1233839.8,1268469.6,1351990.63,1408363.63,1462909.39,1516651.81,1734879.12,1925569.2,2136460.03,2174585.6,2280601.82,2430513.05,2627584.96,2847656.7,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Transportation and Telecommunication Sector (in IDR Million), Current Price",NA.GDP.TRAN.COMM.CR,,,,,,,,,,,,,,,,,,,,,,,,,1268469.6,1421101.13,1670882.19,1861755.02,2163747.01,2932142.74,4433757.26,5747632.53,6454047.8,7453576.99,8254406.03,9365299.72,10762374,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Utilities Sector (in IDR Million), Constant Price",NA.GDP.UTL.KR,2224.0414,2472.6851,3051.0575,3218.11,2976.0998,3927.0583,4314.8894,6786.4116,8764.7555,11525.384,13009.764,13848.473,14158.304,15451.795,19763.691,21428.138,24372.537,25605.958,26778.09,28640.215,30531.087,42037.978,45293.905,47600.154,43637.71,44588.29,43179.3,50512.44,60378.64,59198.96,66339.7,82060.07,91477.02,104092.03,121754.53,131394.09,141026.04,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"GDP on Utilities Sector (in IDR Million), Current Price",NA.GDP.UTL.CR,,,,,,,,,,,,,,,,,,,,,,,,,43637.71,51362.28,69733.68,100647.61,120870.49,116749.66,131994.18,173815.29,196837.69,259429.74,336833.23,399851.58,452016.67,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,General administration function expenditure (in IDR),FC.XPD.ADMN.CR,,,,,,,,,,,,,,,,,,,,,,,,,,1.47E+11,2.12E+11,7.11E+11,1.30E+12,1.51E+12,1.68E+12,2.54E+12,1.74E+12,3.23E+12,2.68E+12,2.77E+12,3.62E+12,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Goods and services expenditure (in IDR),EC.XPD.GSR.CR,,,,,,,,,,,,,,,,,,,,,,,,,,1.50E+11,5.19E+11,2.68E+11,2.38E+11,2.40E+11,4.85E+11,,1.54E+12,1.46E+12,1.60E+12,3.12E+12,4.23E+12,5.62E+12,2.29E+12,3.03E+12,2.72E+12
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Health function expenditure (in IDR),FC.XPD.HE.CR,,,,,,,,,,,,,,,,,,,,,,,,,,47642979781,72835137402,81692864280,69459845567,60993755732,80613958159,1.75E+11,3.41E+11,5.91E+11,6.64E+11,7.99E+11,8.71E+11,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Household Access to Electricity: Total (in % of total household),HOU.ELC.ACSN.ZS,,,,,,,,,,,,,,,,,,,,,52.4,61.93,67.9,70.19,,,,84.94,88.76,,84.35,85.42,89.83,91.51,93.32359,95.40907,96.55,97.254852,97.55389404,98.44535065,98.74076843
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Household Access to Fixed Line Phone Connection (in % of total Household),HOU.MLT.MAIN.ZS,,,,,,,,,,,,,,,,,,,,,3.071935,,,,4.424365,,,6.002328,,6.2251,,,3.809539,,,1.45613,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Household Access to safe Sanitation (in % of total Household),HOU.STA.ACSN.ZS,,,,,,,,,,,,,,,,,,,,,45.99,52.62,53.6,50.98,,,74.64,59.25,62.57,,48.41,50.35,56.05,56.62,59.2079,60.34071,62.66,62.50103,64.16649628,67.11759949,68.88034821
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Household Access to Safe Water (in % of total household),HOU.H2O.ACSN.ZS,,,,,,,,,,,,,,,,,,,,,24.64,27.01,30.33,27.15,,,83.35,37.97,42.95,,34.15,38.44,41.23,48.69,53.87338,59.1,58.82,60.701454,59.63394165,63.81373978,65.38877869
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Household per capita expenditure (in IDR),HOU.XPD.PC.CR,,,,,,,,,,,,,,,,,,39865.23,,,54152.77,,,113507.2,,,,207336.91,220829.94,254323.03,,352934.58,380460.96,427479.44,482704.99,556930,601772,607416.14,679225.57,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Housing and public facilities function expenditure (in IDR),FC.XPD.HOUS.CR,,,,,,,,,,,,,,,,,,,,,,,,,,20210944410,1.21E+11,42522554409,,91257628876,91520018314,0,0,0,0,0,0,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Human Development Index,IDX.HDI,,,,,,,,,,,,,,,,,,,,,69.4,,,65.3,,,66,,68.7,69.05,69.41,70.35,70.76,71.31,71.7,72.16,72.51,73.05,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Immunization Coverage for Children under 5 years old (in % of children population under 5 years old),SH.IMM.CHLD.ZS,,,,,,,,,,,,,,,,,,,,,78.122437,82.453918,86.342529,81.657707,,,,,86.73732,,93.104767,87.297798,89.161598,90.121582,91.416512,91.72422,91.51825,91.251106,91.57893,83.47,83.82
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Animals and vegetable oil, fat and waxes (province Level, in USD)",TRAD.IMPT.OLFTW,,,,,,,,,,,,,,,,,,,,,,,7271,1400,379560,340,,,,18080,44195,,250,140,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Beverages and tobacco (province Level, in USD)",TRAD.IMPT.BVTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722,,,286,22639,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Chemical and related products, nes (province Level, in USD)",TRAD.IMPT.CHEM,,,,,,,,,,,,,,,,,,,,,,,13444959,5307637,7547223,2441380,2438267,10643685,3221850,1386915,997833,1289024,2047905,5121645,,,,,,,
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Import: Commodities and transaction not elsewhere classified (province Level, in USD)",TRAD.IMPT.OTHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
